name,year,total_taxes,property_taxes,sales_and_gross_receipts_taxes,general_sales_and_gross_receipts_taxes,selective_sales_and_gross_receipts_taxes,alcoholic_beverages_sales_tax,amusements_sales_tax,insurance_premiums_sales_tax,motor_fuels_sales_tax,pari_mutuels_sales_tax,public_utilities_sales_tax,tobacco_products_sales_tax,other_selective_sales_and_gross_receipts_taxes,license_taxes,alcoholic_beverages_license,amusements_license,corporations_in_general_license,hunting_and_fishing_license,motor_vehicle_license,motor_vehicle_operators_license,public_utilities_license,occupation_and_business_license_nec,other_license_taxes,income_taxes,individual_income_taxes,corporations_net_income_taxes,other_taxes,death_and_gift_taxes,documentarty_and_stock_transfer_taxes,severance_taxes,taxes_nec
kentucky,2019,13081932,648739,6311232,3984753,2326479,147700,214,173129,720218,15003,56395,369501,844319,534040,10664,316,117710,31142,223126,17142,0,129033,4907,5391757,4629057,762700,196164,42903,3351,149910,0
louisiana,2020,11381008,90472,6059685,3571559,2488126,77102,573393,933593,611027,5242,10274,160097,117398,417186,0,0,184652,30774,76104,5389,7315,108312,4640,4366639,3916190,450449,447026,0,0,447026,0
louisiana,2019,11748609,76050,6400439,3739549,2660890,75773,698208,900921,665311,5415,9444,161018,144800,438495,0,0,195847,30012,78817,14340,7688,107246,4545,4328623,3833235,495388,505002,0,0,505002,0
maine,2020,4851219,42626,2401733,1666718,735015,17878,43371,109584,242580,956,22167,137331,161148,284666,7256,470,11777,17054,109927,10267,0,116668,11247,2059590,1843459,216131,62604,21079,41525,0,0
maine,2019,4674441,41110,2327733,1613210,714523,19974,57060,93517,256634,1369,20433,125978,139558,291044,6702,571,10760,16737,116964,11557,0,117400,10353,1961936,1709069,252867,52618,15851,36767,0,0
maryland,2020,23882883,867051,9510784,4936660,4574124,24460,773059,615000,1076207,962,137713,362901,1583822,800356,1635,1657,83751,17826,471001,26923,0,195835,1728,12024332,10698876,1325456,680360,197169,227050,0,256141
maryland,2019,23606217,836498,9895931,4888693,5007238,32165,1061486,556409,1140220,1166,146303,356684,1712805,913034,1590,1769,117506,17389,516790,32515,0,223626,1849,11368130,10067080,1301050,592624,180434,217994,0,194196
massachusetts,2020,31630313,7672,9489653,6815727,2673926,88370,189678,470119,707877,741,0,523963,693178,1130025,3906,8976,24761,6426,416016,74816,0,320192,274932,19947124,17414713,2532411,1055839,699555,356284,0,0
massachusetts,2019,31805410,7356,9557950,6834003,2723947,87121,133113,445445,775463,788,0,553261,728756,1199646,3830,15863,27913,5525,448837,91503,0,311132,295043,20097631,17150964,2946667,942827,601306,341521,0,0
michigan,2020,28061998,2373197,13409169,9223410,4185759,181064,115277,456600,1199557,1726,35656,826928,1368951,2017443,19728,0,31472,91864,1366442,55380,32263,256843,163451,9842335,9029493,812842,419854,0,404871,14983,0
michigan,2019,30270130,2194160,14347394,9613796,4733598,169073,116256,435393,1476484,2292,37559,887071,1609470,2030560,19998,0,28408,61179,1375049,60922,35084,229573,220347,11292994,10150323,1142671,405022,40,381130,23852,0
minnesota,2020,26790884,756066,11352902,6435200,4917702,94319,79189,530442,879639,1366,53,616192,2716502,1578328,2847,1104,9409,72026,856610,48774,642,520132,66784,12527608,10923158,1604450,575980,148779,317509,56358,53334
minnesota,2019,28175795,812497,11169575,6205621,4963954,92848,89707,524654,935632,1192,51,626533,2693337,1495685,2711,1137,9275,68643,847267,44352,675,456956,64669,14111719,12400060,1711659,586319,222279,251851,60158,52031
mississippi,2020,8099990,29387,5264298,3808624,1455674,41703,132793,359245,428360,0,1778,138923,352872,487110,1276,16424,132851,2747,162947,17343,6863,81397,65262,2282688,1861263,421425,36507,0,0,36507,0
mississippi,2019,8288883,28362,5232943,3731772,1501171,41165,139035,353728,445239,0,1676,138722,381606,512541,1268,18116,155657,3309,171469,16626,6654,77829,61613,2463296,1968485,494811,51741,0,0,51741,0
missouri,2020,12409761,36525,5458755,3793379,1665376,41000,288276,446610,708455,0,0,96760,84275,634725,4656,25,0,34546,300665,14060,17979,180685,82109,6266128,5901668,364460,13628,8,13530,1,89
missouri,2019,13181385,34022,5549210,3732101,1817109,39726,366366,445800,725588,0,0,94865,144764,628550,5617,28,3055,32934,306003,16587,19495,163197,81634,6956929,6587919,369010,12674,8,12611,4,51
montana,2020,3168411,332869,678835,0,678835,40465,57455,120822,260531,117,43351,75486,80608,453759,5690,4654,5283,69573,171159,7547,12,175531,14310,1525034,1338737,186297,177914,0,0,173824,4090
montana,2019,3168557,312300,663096,0,663096,37820,63172,108445,261331,209,43018,77234,71867,388817,3028,4607,5435,67757,172071,7018,6,116554,12341,1597960,1412863,185097,206384,0,0,202463,3921
nebraska,2020,5857227,128,2812655,2169821,642834,32590,6060,67044,397341,116,60211,55394,24078,186656,994,593,15738,16417,106763,10433,0,34767,951,2836811,2445647,391164,20977,0,18581,2396,0
nebraska,2019,5754834,127,2579592,1966358,613234,31425,5954,60722,391897,137,43379,52862,26858,184373,742,585,6195,18687,110180,11432,0,35540,1012,2969418,2545680,423738,21324,0,17942,3382,0
nevada,2020,9452840,346902,7594926,5479823,2115103,43410,805297,452361,338020,3,47372,179895,248745,637899,0,71820,76560,13352,194095,19725,0,255310,7037,0,0,0,873113,0,108061,122449,642603
nevada,2019,9744547,335207,7835623,5500442,2335181,45965,970309,424088,354108,3,53818,182492,304398,700863,0,103982,79606,11356,209538,25693,0,263821,6867,0,0,0,872854,0,108894,123584,640376
